,title,link
0,2024년 경기도기술학교 주말 무료교육생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4546&pager.offset=0&pagerLimit=8
1,[구리시 청년내일센터] 취 ·창업 / 주거 멘토링&컨설팅 신청 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4545&pager.offset=0&pagerLimit=8
2,[구리시 청년내일센터] 5월 프로그램 일정표 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4544&pager.offset=0&pagerLimit=8
3,대기업 현직자와 함께하는 하남시 청년취업멘토링 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4543&pager.offset=0&pagerLimit=8
4,2024년 시스템에어컨 설치 과정 2차 무료교육생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4542&pager.offset=0&pagerLimit=8
5,제4기 평택시 미디어크리에이터 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4541&pager.offset=0&pagerLimit=8
6,2024년 열린재정 온라인 모니터링단 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4540&pager.offset=0&pagerLimit=8
7,2024 한국동서발전 창업지원사업 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4539&pager.offset=0&pagerLimit=8
0,한국전력 KEPCO 프렌즈 11기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4538&pager.offset=8&pagerLimit=8
1,2024 K-FOREST 글로벌 서포터즈 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4537&pager.offset=8&pagerLimit=8
2,한국여성의전화 10기 기자단 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4536&pager.offset=8&pagerLimit=8
3,제27회 외대부고캠프 대학생 멘토 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4535&pager.offset=8&pagerLimit=8
4,[식중독예방X음식점 위생등급제] 지키리포터 1기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4534&pager.offset=8&pagerLimit=8
5,보건복지부 18기 대학생 금연 서포터즈 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4533&pager.offset=8&pagerLimit=8
6,굿네이버스 마약근절 및 중독예방 실천활동 '약속' 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4532&pager.offset=8&pagerLimit=8
7,2024년 한국보육진흥원 국민홍보단 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4531&pager.offset=8&pagerLimit=8
0,2024년 해양문화 대장정 참가자 모집 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4530&pager.offset=16&pagerLimit=8
1,[국립외교원] 국민외교아카데미 2024년 청년 국제관계 실무 기본과정 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4529&pager.offset=16&pagerLimit=8
2,2024 ICT멘토링 서포터즈 「JOB파고」  5기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4528&pager.offset=16&pagerLimit=8
3,[한국전파진흥협회] 2024 메타버스 아카데미 3기 모집(~5.3) ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4527&pager.offset=16&pagerLimit=8
4,2024. 성남시 청년지원센터 '청년 희망 인턴 사업' 참가자 추가모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4526&pager.offset=16&pagerLimit=8
5,자립준비청년 '찾아가는 마음건강 심리상담' 사업 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4525&pager.offset=16&pagerLimit=8
6,[성남여성인력개발센터] 생성형AI (ChatGPT)활용 마케팅전문가 양성과정 수강생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4524&pager.offset=16&pagerLimit=8
7,자립준비청년 '멘토-멘티 함께서기' 사업 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4523&pager.offset=16&pagerLimit=8
0,자립준비청년 주거지원 공간 '희망디딤돌' 사업 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4522&pager.offset=24&pagerLimit=8
1,경기도 1인가구 금융안전교육 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4521&pager.offset=24&pagerLimit=8
2,경기도 1인가구 건강돌봄 프로그램 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4520&pager.offset=24&pagerLimit=8
3,경기도 1인가구 식생활 개선 다이닝 프로그램 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4519&pager.offset=24&pagerLimit=8
4,경기도 1인가구 병원 안심동행 사업  ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4518&pager.offset=24&pagerLimit=8
5,2024 미래내일일경험 인턴십 참여자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4517&pager.offset=24&pagerLimit=8
6,2024 대한민국 고졸 인재 채용엑스포 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4516&pager.offset=24&pagerLimit=8
7,"2024 화성시미디어센터 미디어아트 워크숍 프로젝션맵핑 화성,빛의 옷을 두르다 2기 교육생모집 ",https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4515&pager.offset=24&pagerLimit=8
0,한국문화정보원 문화PD 22기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4514&pager.offset=32&pagerLimit=8
1,46기 WFK 청년봉사단 해외봉사 단원 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4513&pager.offset=32&pagerLimit=8
2,2024 시도위원회 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4512&pager.offset=32&pagerLimit=8
3,국립중앙도서관 청년 디지털 봉사단 ‘잇(IT)다’ 5기 모집 안내 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4511&pager.offset=32&pagerLimit=8
4,2024 미래내일일경험 보건의료행정 2차 인턴 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4510&pager.offset=32&pagerLimit=8
5,2024 청년 체인지업 프로젝트 '존재캠프' 참여자 추가 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4509&pager.offset=32&pagerLimit=8
6,경기청년 역량강화 기회 지원 사업 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4508&pager.offset=32&pagerLimit=8
7,2024 보건환경연구원/식품의약품연구부 대학생 현장실습생 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4507&pager.offset=32&pagerLimit=8
0,2024년 고양시 주민참여예산 SNS서포터즈 5기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4506&pager.offset=40&pagerLimit=8
1,제5회 국제 청년 섬 워크캠프 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4505&pager.offset=40&pagerLimit=8
2,굿네이버스 취준생 원스탑 대외활동 인성업클 6기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4504&pager.offset=40&pagerLimit=8
3,2024 체코 글로벌 봉사단 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4503&pager.offset=40&pagerLimit=8
4,[경기도 광명시X마이온] 2024 광명시 원스톱 취업지원 컨설팅 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4502&pager.offset=40&pagerLimit=8
5,[국민건강보험공단] 2024년도 청년인턴 채용 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4501&pager.offset=40&pagerLimit=8
6,슬기로운 청년생활(5월) 프로그램 신청자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4500&pager.offset=40&pagerLimit=8
7,[한국행정연구원] 2024년도 제2차 청년인턴 공개경쟁 채용 공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4499&pager.offset=40&pagerLimit=8
0,'2024년 꿈트는 1080토요학교' 1:1멘토링 봉사자 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4498&pager.offset=48&pagerLimit=8
1,대학생 우정사회봉사단 포커스:온 5기 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4497&pager.offset=48&pagerLimit=8
2,2024년「지식재산(IP-R&D) 연구분석 전문교육」교육생 모집공고 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4496&pager.offset=48&pagerLimit=8
3,2024 TS 교통안전 서포터즈 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4495&pager.offset=48&pagerLimit=8
4,유네스코 국제기록유산센터 2024 ICDH 서포터즈 1기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4494&pager.offset=48&pagerLimit=8
5,2024년 제15기 수도권대기환경청 푸른하늘기자단 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4493&pager.offset=48&pagerLimit=8
6,국가과학기술인력개발원(KIRD) 서포터즈 2기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4492&pager.offset=48&pagerLimit=8
7,뇌전증 인식개선 대학생 동아리 Epilizer CLUB ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4491&pager.offset=48&pagerLimit=8
0,기부 콘텐츠 활성화 사업 채리티 에디터 7기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4490&pager.offset=56&pagerLimit=8
1,중도입국·난민아동 꿈 지원사업 대학생 멘토 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4489&pager.offset=56&pagerLimit=8
2,2024 제품안전 크리에이터 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4488&pager.offset=56&pagerLimit=8
3,2024 한국수자원조사기술원 제5기 서포터즈 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4487&pager.offset=56&pagerLimit=8
4,제5기 청춘나래 서포터즈 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4486&pager.offset=56&pagerLimit=8
5,"같이 살자, 같생 3기 서포터즈 모집 ",https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4485&pager.offset=56&pagerLimit=8
6,[녹색융합클러스터] 2024 JOB FESTIVAL 박람회 서포터즈 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4484&pager.offset=56&pagerLimit=8
7,2024 한국도박문제예방치유원 블로그 기자단 도란도란 2기 모집 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4483&pager.offset=56&pagerLimit=8
0,2024 상상대로 여성풋살교실 ,https://youth.gg.go.kr/gg/info/archive-policy-search-map.do?mode=view&arcNo=4482&pager.offset=64&pagerLimit=8
