"시점","행정구역(시군구)별","성별",계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세 이상,80세,81세,82세,83세,84세,85세 이상,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상
"2023","전국","계",51145884.5,235093,259159.5,272022.5,293477.5,321052,348781,388732.5,428901.5,442731.5,441088.5,465530,482829,474657.5,460500.5,458002,481602,471797,441605,453116.5,481161.5,491237.5,523825,595501.5,625504.5,625583,650926,673446,691683.5,705847,707021,712864,709059,667102,631820,624439,617775,618368.5,635220,651668,698334.5,776983.5,821853.5,828485,821623.5,764321,739869.5,759120.5,763860,810057.5,859871,876667,899598,909942,899624,902424.5,870917.5,815924.5,809576.5,816721,786926,808666.5,865555.5,883738.5,851847,780376,740469.5,699646.5,673246.5,631116.5,537790.5,521591.5,469784.5,405944.5,417481.5,414234.5,409592,364395,300812,287562.5,291141,2297461,316162,307175,251452,228962.5,210217,983492.5,181574.5,158257.5,138607,117300,92827,73953,57638.5,43755.5,34834.5,26708,19403.5,12813.5,8295.5,5564.5,4216,7744
"2023","전국","남자",25469181,120277,132695,139298.5,150427,164755.5,179196,199401.5,219580,226780.5,225898.5,238640,247706.5,244064,237188,235642.5,247540.5,243001,228209.5,234281.5,249020.5,255137.5,272435,309965.5,325865.5,325888,337871.5,350553.5,363673,373502.5,375165.5,376415,371564.5,350528,331022.5,324682,318673,317893.5,327237,333695.5,356537,395692.5,418663.5,422190,416036.5,389215.5,376085,384167.5,387182.5,410282.5,434254.5,443355.5,458356.5,461820,453697.5,451901,431704.5,411951,411498.5,408847.5,396957.5,408680,432154,434887.5,417610.5,384117,365411,342813,324471,303419.5,258402,247442,221832.5,190364,194263.5,191580,186944.5,164333,133965.5,123931.5,121764,795026.5,129457,122787.5,96927,85099.5,75590.5,285165,62725.5,52144.5,43304,34781,25972.5,19356,14004.5,9742,7450,5482.5,3631,2252,1364.5,952.5,787.5,1215
"2023","전국","여자",25676703.5,114816,126464.5,132724,143050.5,156296.5,169585,189331,209321.5,215951,215190,226890,235122.5,230593.5,223312.5,222359.5,234061.5,228796,213395.5,218835,232141,236100,251390,285536,299639,299695,313054.5,322892.5,328010.5,332344.5,331855.5,336449,337494.5,316574,300797.5,299757,299102,300475,307983,317972.5,341797.5,381291,403190,406295,405587,375105.5,363784.5,374953,376677.5,399775,425616.5,433311.5,441241.5,448122,445926.5,450523.5,439213,403973.5,398078,407873.5,389968.5,399986.5,433401.5,448851,434236.5,396259,375058.5,356833.5,348775.5,327697,279388.5,274149.5,247952,215580.5,223218,222654.5,222647.5,200062,166846.5,163631,169377,1502434.5,186705,184387.5,154525,143863,134626.5,698327.5,118849,106113,95303,82519,66854.5,54597,43634,34013.5,27384.5,21225.5,15772.5,10561.5,6931,4612,3428.5,6529
"2023","서울특별시","계",9334933.5,39254,42512.5,43586.5,45866.5,49046,52644.5,58671.5,64409.5,66468.5,66484,70287,72799,72330.5,70926,71466,76156.5,75185.5,71181.5,74162,84557.5,89233,96467,115350,128786,134857.5,146821,156983.5,163113,167804.5,168121.5,167585.5,164773.5,153003,141776,137360.5,132560.5,128841.5,129107.5,129024.5,134213,144628.5,149629.5,149544,147649.5,135734,130536.5,134706.5,135153.5,142343.5,150634.5,154796.5,160238,161401,157195.5,153922,146659,135596,133865.5,137416,133699.5,135563,142356,146388,144136.5,134792.5,129945,123885.5,121363.5,114911.5,98850.5,96437,84991.5,73661.5,77652.5,77038.5,76987,69745.5,57959,53806,52623,372713.5,55789,53172,42641,37607.5,33672,149832,28610.5,24470.5,21041.5,17466.5,13682,10892,8398,6471,5337.5,4222,3091,2062,1273,877.5,693.5,1243.5
"2023","서울특별시","남자",4517716.5,20135,21789,22397.5,23734,25491.5,27062.5,29955,32894.5,33915.5,34099,36129.5,37342.5,37189.5,36430,36698,39171.5,38679,36635.5,38000.5,42222.5,43112.5,45535.5,54655,60059,62200.5,67946,73590.5,78320.5,82337.5,83532.5,83539,82183.5,76985,71474,68878,66088,64131.5,64518.5,64296.5,67020,72048,74608,74525.5,72649.5,67038,64310.5,66112.5,66640.5,70356.5,74194.5,76107,79554,79838,77449,75519,70795.5,66650,66224,66695,65304.5,66433,68635.5,69135,67924,63762.5,61395,58078.5,56096.5,53205.5,45995.5,44581.5,39275.5,33927.5,35396.5,34895,34636,31053.5,25787.5,23814,23123.5,143570,24429.5,23115.5,18024,15366.5,13449.5,49185,11031,8989,7407,5844,4331.5,3283.5,2333.5,1645,1342,1034,694.5,423,243,175,152,257
"2023","서울특별시","여자",4817217,19119,20723.5,21189,22132.5,23554.5,25582,28716.5,31515,32553,32385,34157.5,35456.5,35141,34496,34768,36985,36506.5,34546,36161.5,42335,46120.5,50931.5,60695,68727,72657,78875,83393,84792.5,85467,84589,84046.5,82590,76018,70302,68482.5,66472.5,64710,64589,64728,67193,72580.5,75021.5,75018.5,75000,68696,66226,68594,68513,71987,76440,78689.5,80684,81563,79746.5,78403,75863.5,68946,67641.5,70721,68395,69130,73720.5,77253,76212.5,71030,68550,65807,65267,61706,52855,51855.5,45716,39734,42256,42143.5,42351,38692,32171.5,29992,29499.5,229143.5,31359.5,30056.5,24617,22241,20222.5,100647,17579.5,15481.5,13634.5,11622.5,9350.5,7608.5,6064.5,4826,3995.5,3188,2396.5,1639,1030,702.5,541.5,986.5
"2023","부산광역시","계",3291326,13205.5,14614.5,15312,16596.5,18577,20612,23192.5,25656,26486.5,26050,27209,28079.5,27314.5,25915.5,25415,26700.5,25968,24432,25458.5,27834,28940.5,31724,37447,39807,39508,40267.5,41270,41927.5,42219,42515.5,42953.5,42717,39837.5,37894.5,37569.5,36605,36384,37173,38649,42136.5,47248.5,50831,52267.5,51695.5,47545,45039.5,45250,45729.5,48963,51915,53358.5,54871,55765.5,55762.5,56279.5,55453.5,52277,51463.5,51982,51527,55072,60418,62887,61419.5,57439,56152,54246,53653.5,50733,43350,42192,39231.5,34457,34268.5,34112,32914,28517,23042,22176,22874,154773,23554,22080.5,18323.5,16328.5,14217.5,60269,11861.5,10101,8643.5,7139,5524.5,4316,3393,2479,1937,1552.5,1192,750.5,468,305.5,211.5,394.5
"2023","부산광역시","남자",1604893,6770.5,7508,7884,8509,9472,10565.5,11845,13127.5,13642,13399.5,13991.5,14371,13972.5,13356.5,13077.5,13699,13315,12581.5,13100,14296.5,14685,15987.5,19184.5,20615,20522.5,20716,21167.5,21677.5,21830,22130,22300.5,22110,20804.5,19676.5,19283,18581,18574.5,19109,19665,21328,23875,25784,26509,26030,24127,22931.5,22813,22969.5,24485.5,25852,26575.5,27318.5,27519,27328.5,27334,26439,25395,25073,24820.5,24910.5,26558,28604,29390,28736,27001.5,26618,25636.5,24812.5,23816.5,20475.5,19393,18055.5,15822,15575.5,15348.5,14702,12735.5,10320.5,9725,9846.5,55199,9913,8969,7179.5,6177.5,5221,17739,4218,3434.5,2714,2085.5,1560,1119,813,565,422,310,191,113,66.5,40,30,57.5
"2023","부산광역시","여자",1686433,6435,7106.5,7428,8087.5,9105,10046.5,11347.5,12528.5,12844.5,12650.5,13217.5,13708.5,13342,12559,12337.5,13001.5,12653,11850.5,12358.5,13537.5,14255.5,15736.5,18262.5,19192,18985.5,19551.5,20102.5,20250,20389,20385.5,20653,20607,19033,18218,18286.5,18024,17809.5,18064,18984,20808.5,23373.5,25047,25758.5,25665.5,23418,22108,22437,22760,24477.5,26063,26783,27552.5,28246.5,28434,28945.5,29014.5,26882,26390.5,27161.5,26616.5,28514,31814,33497,32683.5,30437.5,29534,28609.5,28841,26916.5,22874.5,22799,21176,18635,18693,18763.5,18212,15781.5,12721.5,12451,13027.5,99574,13641,13111.5,11144,10151,8996.5,42530,7643.5,6666.5,5929.5,5053.5,3964.5,3197,2580,1914,1515,1242.5,1001,637.5,401.5,265.5,181.5,337
"2023","대구광역시","계",2372562,9677.5,10873,11596,12894,14506.5,15958,18186,19947,20425.5,20247.5,21281.5,22088,21666,20844.5,20769,22141,21732.5,20698,21544,23338,23826.5,25396,29032,30161,29125,29516.5,30143,30527.5,30626.5,30175.5,30576,30435,28544,27342,26538.5,25799,26207.5,26929.5,27392.5,29585.5,33594,36029.5,36606,36683,34210.5,33255.5,34847.5,35697,37899,40170.5,41762,42986.5,43281.5,43190,44105,43440.5,40427,39590.5,40072,38487,39665,42597,42246.5,41025.5,37332.5,34610.5,33816.5,32551,29983,26251,26451.5,24239.5,20787,20927.5,21137.5,20302,16675,13060.5,13380,14568.5,106327.5,15499.5,14634,11991.5,10917,9866.5,43419,8343,7272,6326,5328,4119.5,3257.5,2514,1811.5,1347,1016,751,472,300,185.5,129,247
